Name,Width,Depth,Order,XsecArea,,,,,,,,
Rausch 1,8,1,One,10,,,,,,,,
Rausch 2,15,1,One,19,,,,,,,,
Rausch 3,84,18,Two,1490,,,,,,,,
Rausch 3a,61,18,Two,1084,,,,,,,,
Rausch 4,86,38,One,3290,,,,,,,,
Rausch 4a,229,13,One,2903,,,,,,,,
Rausch 5,64,13,One,806,,,,,,,,
Rausch 5a,28,25,One,710,,,,,,,,
Rausch 5b,56,15,One,852,,,,,,,,
Rausch 6,61,13,One,774,,,,,,,,
Rausch 6a,33,8,One,252,,,,,,,,
Rausch 7,56,5,One,284,,,,,,,,
Rausch 7a,41,13,One,516,,,,,,,,
Rausch 8,97,20,One,1961,,,,,,,,
Rausch 8a,33,13,One,419,,,,,,,,
Rausch 9,28,15,One,426,,,,,,,,
Rausch 9a,66,5,One,335,,,,,,,,
Rausch 10,274,56,One,15329,,,,,,,,
Rausch 12,122,28,One,3406,,,,,,,,
Rausch 13,56,15,One,852,,,,,,,,
Rausch 14,152,81,Two,12387,,,,,,,,
Rausch 14a,310,81,Two,25187,,,,,,,,
Rausch 15,91,81,One,7432,,,,,,,,
Rausch 16,206,69,Two,14110,,,,,,,,
Rausch 16a,254,81,Two,20645,,,,,,,,
Rausch 17,38,10,One,387,,,,,,,,
Rausch 17a,48,5,One,245,,,,,,,,
Rausch 18,74,20,One,1497,,,,,,,,
Rausch 18a,81,15,One,1239,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
