Min Length,Stream order,System,Flow Status,,
162,One,NonGlac,LEDry,,
18,One,NonGlac,LEFlowing,,
68,One,NonGlac,LEFlowing,,
42,One,NonGlac,LEFlowing,,
13,One,NonGlac,LEFlowing,,
61,One,NonGlac,LEDry,,
85,One,NonGlac,LEFlowing,,
55,One,NonGlac,LEFlowing,,
8,One,NonGlac,LEFlowing,,
4,One,NonGlac,LEFlowing,,
17,One,NonGlac,LEFlowing,,
51,One,NonGlac,LEFlowing,,
10,One,NonGlac,LEFlowing,,
22,One,NonGlac,LEFlowing,,
26,One,NonGlac,LEFlowing,,
20,One,NonGlac,LEFlowing,,
12,One,NonGlac,LEFlowing,,
8,One,NonGlac,LEFlowing,,
8,One,NonGlac,LEFlowing,,
24,One,NonGlac,LEFlowing,,
66,Two,NonGlac,LEFlowing,,
291,Three,NonGlac,LEFlowing,,
41,One,NonGlac,LEDry,,
91,One,NonGlac,LEDry,,
57,One,NonGlac,LEDry,,
16,One,NonGlac,LEDry,,
18,One,NonGlac,LEDry,,
35,One,NonGlac,LEDry,,
32,One,NonGlac,LEDry,,
54,One,NonGlac,LEDry,,
56,One,NonGlac,LEDry,,
25,One,NonGlac,LEDry,,
27,One,NonGlac,LEDry,,
21,One,NonGlac,LEDry,,
48,One,NonGlac,LEDry,,
24,One,NonGlac,LEDry,,
113,One,NonGlac,LEDry,,
33,One,NonGlac,LEDry,,
117,One,NonGlac,LEDry,,
131,One,NonGlac,LEDry,,
45,Two,NonGlac,LEDry,,
96,Two,NonGlac,LEDry,,
200,Two,NonGlac,LEDry,,
57,Two,NonGlac,LEDry,,
43,Three,NonGlac,LEDry,,
444,Two,Glac,HEFlowing,,
8,One,Glac,HEFlowing,,
13,One,Glac,HEFlowing,,
11,One,Glac,HEFlowing,,
11,One,Glac,HEFlowing,,
21,One,Glac,HEFlowing,,
18,One,Glac,HEFlowing,,
9,One,Glac,HEFlowing,,
39,One,Glac,HEFlowing,,
44,One,Glac,HEFlowing,,
4,One,Glac,HEFlowing,,
3,One,Glac,HEFlowing,,
288,One,Glac,HEFlowing,,
361,Three,Glac,HEFlowing,,
15,Two,Glac,HEFlowing,,
25,One,Glac,HEFlowing,,
24,1,Glac,HEFlowing,,
20,1,Glac,HEFlowing,,
2,1,Glac,HEFlowing,,
43,1,Glac,HEFlowing,,
34,1,Glac,HEFlowing,,
11,1,Glac,HEFlowing,,
8,1,Glac,HEFlowing,,
9,1,Glac,HEFlowing,,
93,Two,Glac,HEFlowing,,
5,One,Glac,HEFlowing,,
43,One,Glac,HEFlowing,,
79,One,Glac,HEFlowing,,
23,One,Glac,HEFlowing,,
51,One,Glac,HEFlowing,,
156,One,Glac,HEFlowing,,
24,One,Glac,HEFlowing,,
14,One,Glac,HEFlowing,,
8,One,Glac,HEFlowing,,
26,One,Glac,HEFlowing,,
27,One,Glac,HEFlowing,,
113,One,Glac,HEFlowing,,
17,One,NonGlac,LEDry,,
15,One,NonGlac,LEDry,,
32,One,NonGlac,LEDry,,
71,One,NonGlac,LEDry,,
22,One,NonGlac,LEDry,,
52,One,NonGlac,LEDry,,
40,One,NonGlac,LEDry,,
9,One,NonGlac,LEDry,,
20,One,NonGlac,LEDry,,
18,One,NonGlac,LEDry,,
114,One,NonGlac,LEDry,,
3,One,NonGlac,LEDry,,
6,One,NonGlac,LEDry,,
62,One,NonGlac,LEDry,,
25,One,NonGlac,LEDry,,
46,One,NonGlac,LEDry,,
27,One,NonGlac,LEDry,,
251,Two,NonGlac,LEDry,,
333,Two,NonGlac,LEDry,,
46,Two,NonGlac,LEDry,,
93,Two,NonGlac,LEDry,,
1562,Three,NonGlac,LEFlowing,,
